CBSAFP ID,Name,Name Alt,Has Alt Name,2023 Population Estimate,2020 Population Census,Latitude (Centroid),Longitude (Centroid),Land Area (sq Meters),Water Area (sq Meters),Total Area (sq Meters),Land Area (sq Km),Water Area (sq Km),Total Area (sq Km),Land Area (sq Mi),Water Area (sq Mi),Total Area (sq Mi)
35620,"New York-Newark-Jersey City, NY-NJ-PA","New York–Newark–Jersey City, NY-NJ",YES,19498249,20081935,40.77493,-73.873758,17314396895,6544075251,23858472146,17314.3969,6544.075251,23858.47215,6685.126015,2526.68158,9211.807595
31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles–Long Beach–Anaheim, CA",,12799100,13200998,34.1087033,-118.1827533,12565229275,2195417329,14760646604,12565.22928,2195.417329,14760.6466,4851.462146,847.6553696,5699.117515
16980,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago–Naperville–Elgin, IL-IN",YES,9262825,9449351,41.8235214,-87.8282967,18635140910,6173126516,24808267426,18635.14091,6173.126516,24808.26743,7195.06813,2383.457473,9578.525603
19100,"Dallas-Fort Worth-Arlington, TX","Dallas–Fort Worth–Arlington, TX",,8100037,7637387,32.8491708,-96.9704894,22465626198,862946133,23328572331,22465.6262,862.946133,23328.57233,8674.026768,333.1853647,9007.212133
26420,"Houston-The Woodlands-Sugar Land, TX","Houston–Pasadena–The Woodlands, TX",YES,7510253,7149642,29.7495926,-95.3536422,21413036357,3046384726,24459421083,21413.03636,3046.384726,24459.42108,8267.619558,1176.215718,9443.835277
12060,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta–Sandy Springs–Roswell, GA",YES,6307261,6104803,33.693728,-84.3999113,22494938651,387716575,22882655226,22494.93865,387.716575,22882.65523,8685.344369,149.6982065,8835.042576
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington–Arlington–Alexandria, DC-VA-MD-WV",,6304975,6278542,38.7982054,-77.4868816,17010001633,1128154710,18138156343,17010.00163,1128.15471,18138.15634,6567.598347,435.5829687,7003.181316
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia–Camden–Wilmington, PA-NJ-DE-MD",,6246160,6245051,39.8949576,-75.3119824,11921944534,692329123,12614273657,11921.94453,692.329123,12614.27366,4603.088519,267.3097688,4870.398287
33100,"Miami-Fort Lauderdale-Pompano Beach, FL","Miami–Fort Lauderdale–West Palm Beach, FL",YES,6183199,6138333,26.1018281,-80.4787552,13123323711,2771846854,15895170565,13123.32371,2771.846854,15895.17057,5066.943612,1070.216053,6137.159666
38060,"Phoenix-Mesa-Chandler, AZ","Phoenix–Mesa–Chandler, AZ",,5070110,4845832,33.1857653,-112.0678624,37727619480,85692120,37813311600,37727.61948,85.69212,37813.3116,14566.71532,33.0859125,14599.80123
14460,"Boston-Cambridge-Newton, MA-NH","Boston–Cambridge–Newton, MA-NH",,4919179,4941632,42.517606,-71.0219925,9029114828,2654672640,11683787468,9029.114828,2654.67264,11683.78747,3486.160725,1024.974837,4511.135561
40140,"Riverside-San Bernardino-Ontario, CA","Riverside–San Bernardino–Ontario, CA",,4688053,4599839,34.5384763,-116.1345414,70646788920,340297621,70987086541,70646.78892,340.297621,70987.08654,27276.8777,131.389646,27408.26734
41860,"San Francisco-Oakland-Berkeley, CA","San Francisco–Oakland–Fremont, CA",YES,4566961,4749008,37.7737185,-122.2744317,6398229497,2475477450,8873706947,6398.229497,2475.47745,8873.706947,2470.37022,955.7871869,3426.157407
19820,"Detroit-Warren-Dearborn, MI","Detroit–Warren–Dearborn, MI",,4342304,4392041,42.7218478,-83.2008463,10079403934,890904274,10970308208,10079.40393,890.904274,10970.30821,3891.679616,343.9800632,4235.659679
42660,"Seattle-Tacoma-Bellevue, WA","Seattle–Tacoma–Bellevue, WA",,4044837,4018762,47.4905993,-121.833996,15202855929,1136512340,16339368269,15202.85593,1136.51234,16339.36827,5869.85549,438.8098677,6308.665358
33460,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis–St. Paul–Bloomington, MN-WI",,3712020,3690261,45.096664,-93.275361,18253278632,1223407456,19476686088,18253.27863,1223.407456,19476.68609,7047.63028,472.3602595,7519.99054
45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa–St. Petersburg–Clearwater, FL",,3342963,3175275,28.1259071,-82.4652858,6514447222,2113705048,8628152270,6514.447222,2113.705048,8628.15227,2515.242134,816.1060816,3331.348216
41740,"San Diego-Chula Vista-Carlsbad, CA","San Diego–Chula Vista–Carlsbad, CA",,3269973,3298634,33.0236041,-116.7761174,10904373558,817404622,11721778180,10904.37356,817.404622,11721.77818,4210.202168,315.601689,4525.803857
19740,"Denver-Aurora-Lakewood, CO","Denver–Aurora–Centennial, CO",YES,3005131,2963821,39.434789,-104.9010728,21613407404,149583396,21762990800,21613.4074,149.583396,21762.9908,8344.983252,57.75447208,8402.737724
12580,"Baltimore-Columbia-Towson, MD","Baltimore–Columbia–Towson, MD",,2834316,2844510,39.304361,-76.5495009,6737876069,1304109791,8041985860,6737.876069,1304.109791,8041.98586,2601.508494,503.5196053,3105.0281
36740,"Orlando-Kissimmee-Sanford, FL","Orlando–Kissimmee–Sanford, FL",,2817933,2673376,28.4343962,-81.3560839,9037795130,1352006478,10389801608,9037.79513,1352.006478,10389.80161,3489.512208,522.0126195,4011.524828
16740,"Charlotte-Concord-Gastonia, NC-SC","Charlotte–Concord–Gastonia, NC-SC",,2805115,2660329,35.1663423,-80.7972848,14495628697,302851379,14798480076,14495.6287,302.851379,14798.48008,5596.793529,116.9315711,5713.7251
41180,"St. Louis, MO-IL","St. Louis, MO-IL",,2796999,2820253,38.7402108,-90.3458253,20365780913,566584593,20932365506,20365.78091,566.584593,20932.36551,7863.271971,218.7595344,8082.031505
