State Abrv,State,Land Area (Sq Mi),Land Area (Sq Km),Water Area (Sq Mi),Water Area (Sq Km),Total Area (Sq Mi),Total Area (Sq Km),Latitude (Centroid),Longitude (Centroid),Alt Latitude (Centroid),Alt Longitude (Centroid),Boundary P1 Long,Boundary P1 Lat,Boundary P2 Long,Boundary P2 Lat,Region,Division,Population (2020 Census),Population (2023 Estimate)
AL,Alabama,"50,645","131,171","1,775","4,597","52,420","135,767",32.7396323,-86.8434593,32.7794,-86.8287,-88.47459515,30.22250113,-84.89247975,35.00832267,South,East South Central,5024279,5108468
AK,Alaska,"570,641","1,477,953","94,743","245,383","665,384","1,723,337",63.346191,-152.8370679,64.0685,-152.2782,-179.1365721,51.22908775,179.7748807,71.352561,West,Pacific,733391,733406
AZ,Arizona,"113,594","294,207",396,"1,026","113,990","295,234",34.2099643,-111.602401,34.2744,-111.6602,-114.8128345,31.33240625,-109.044839,37.00391833,West,Mountain,7151502,7431344
AR,Arkansas,"52,035","134,771","1,143","2,961","53,179","137,732",34.8955256,-92.4446262,34.8938,-92.4426,-94.61946647,33.00413641,-89.65547287,36.49965029,South,West South Central,3011524,3067732
CA,California,"155,779","403,466","7,916","20,501","163,695","423,967",37.148573,-119.5406515,37.1841,-119.4696,-124.4106066,32.53423076,-114.1344579,42.00965915,West,Pacific,39538223,38965193
CO,Colorado,"103,642","268,431",452,"1,170","104,094","269,601",38.9935752,-105.5077737,38.9972,-105.5478,-109.0591962,36.99275056,-102.0421264,41.00198213,West,Mountain,5773714,5877610
CT,Connecticut,"4,842","12,542",701,"1,816","5,543","14,357",41.5797842,-72.7466666,41.6219,-72.7273,-73.72618613,40.98480094,-71.78796738,42.05089401,Northeast,New England,3605944,3617176
DE,Delaware,"1,949","5,047",540,"1,399","2,489","6,446",38.9935501,-75.4473739,38.9896,-75.505,-75.79003018,38.45143391,-75.05063562,39.83881531,South,South Atlantic,989948,1031890
DC,District of Columbia,61,158,7,19,68,177,38.9041485,-77.0170942,38.9101,-77.0147,-77.11806896,38.79162155,-76.90988991,38.99435963,South,South Atlantic,689545,678972
FL,Florida,"53,625","138,887","12,133","31,424","65,758","170,312",28.4574302,-82.4091478,28.6305,-82.4497,-87.63470036,24.51490855,-80.03257568,31.00080921,South,South Atlantic,21538187,22610726
GA,Georgia,"57,513","148,959","1,912","4,951","59,425","153,910",32.629384,-83.4232125,32.6415,-83.4426,-85.60674925,30.35909162,-80.84375612,35.00059113,South,South Atlantic,10711908,11029227
HI,Hawaii,"6,423","16,635","4,509","11,678","10,932","28,313",19.809767,-155.5061027,20.2927,-156.3737,-160.2497071,18.91727561,-154.8083374,22.23238695,West,Pacific,1455271,1435138
ID,Idaho,"82,643","214,045",926,"2,398","83,569","216,443",44.3020948,-114.5956254,44.3509,-114.613,-117.2427865,41.98818266,-111.0440758,49.00068691,West,Mountain,1839106,1964726
IL,Illinois,"55,519","143,793","2,395","6,202","57,914","149,995",40.1028754,-89.1526108,40.0417,-89.1965,-91.51472716,36.970415,-87.49471789,42.50877283,Midwest,East North Central,12812508,12549689
IN,Indiana,"35,826","92,789",593,"1,537","36,420","94,326",39.9030256,-86.2839503,39.8942,-86.2816,-88.09771928,37.77191769,-84.78480093,41.76053184,Midwest,East North Central,6785528,6862199
IA,Iowa,"55,857","144,669",416,"1,077","56,273","145,746",42.0700243,-93.4933473,42.0751,-93.496,-96.6330604,40.3783048,-90.14002756,43.50012771,Midwest,West North Central,3190369,3207004
KS,Kansas,"81,759","211,754",520,"1,346","82,278","213,100",38.4985464,-98.3834298,38.4937,-98.3804,-102.0528943,36.99275056,-94.59075211,40.00289571,Midwest,West North Central,2937880,2940546
KY,Kentucky,"39,486","102,269",921,"2,387","40,408","104,656",37.5336807,-85.2929841,37.5347,-85.3021,-89.57291911,36.49707311,-81.96720514,39.1464132,South,East South Central,4505836,4526154
LA,Louisiana,"43,204","111,898","9,174","23,761","52,378","135,659",30.8577705,-91.803273,31.0689,-91.9968,-94.04159013,28.9296163,-88.81557808,33.01959949,South,West South Central,4657757,4573749
ME,Maine,"30,843","79,883","4,537","11,750","35,380","91,633",45.3906022,-68.6574869,45.3695,-69.2428,-71.08446575,43.05943009,-66.98190272,47.45953383,Northeast,New England,1362359,1395722
MD,Maryland,"9,707","25,142","2,699","6,990","12,406","32,131",38.9466584,-76.6744939,39.055,-76.7909,-79.48700299,37.91709878,-75.05063562,39.72284225,South,South Atlantic,6177224,6180253
MA,Massachusetts,"7,800","20,202","2,754","7,134","10,554","27,336",42.1565196,-71.4895915,42.2596,-71.8083,-73.5072392,41.23908261,-69.92871309,42.88675909,Northeast,New England,7029917,7001399
MI,Michigan,"56,539","146,435","40,175","104,052","96,714","250,487",44.8410835,-85.6593197,44.3467,-85.4102,-90.4164032,41.69610236,-82.41586689,48.19059362,Midwest,East North Central,10077331,10037261
MN,Minnesota,"79,627","206,232","7,309","18,930","86,936","225,163",46.3161343,-94.1994801,46.2807,-94.3053,-97.23965108,43.49926865,-89.49036535,49.38468659,Midwest,West North Central,5706494,5737915
MS,Mississippi,"46,923","121,531","1,509","3,907","48,432","125,438",32.6864655,-89.6561493,32.7364,-89.6678,-91.64394175,30.18040721,-88.09771928,34.99543677,South,East South Central,2961279,2939690
MO,Missouri,"68,742","178,040",965,"2,501","69,707","180,540",38.35075,-92.4567826,38.3566,-92.458,-95.76804054,35.99538225,-89.09913231,40.61368715,Midwest,West North Central,6154913,6196156
